Timestamp,Worker2,Worker1,Worker0,Master
Thu Dec 05 2024 15:31:00 GMT+0100 (Central European Standard Time),1.911849541495461,1.7204729522685605,2.081327586677209,1.2476268984499466
Thu Dec 05 2024 15:32:00 GMT+0100 (Central European Standard Time),17.870301347402197,15.326366024093693,20.282018823329302,8.823131343395216
Thu Dec 05 2024 15:33:00 GMT+0100 (Central European Standard Time),51.36773965433756,42.47397730600168,46.64672817212758,58.849289847771026
Thu Dec 05 2024 15:34:00 GMT+0100 (Central European Standard Time),64.59443559729813,56.42309676553059,60.15773454602535,72.25590196269633
Thu Dec 05 2024 15:35:00 GMT+0100 (Central European Standard Time),61.014713329224335,64.84291442248721,55.93316148176427,62.32436643105317
Thu Dec 05 2024 15:36:00 GMT+0100 (Central European Standard Time),59.55441746476687,48.992450821318364,56.27839899685346,78.01540060944755
Thu Dec 05 2024 15:37:00 GMT+0100 (Central European Standard Time),66.07712786875845,61.18880189636874,59.98548507124355,73.01475620970507
Thu Dec 05 2024 15:38:00 GMT+0100 (Central European Standard Time),73.70002790665077,67.36603710231445,62.32924310697053,55.34731397592111
Thu Dec 05 2024 15:39:00 GMT+0100 (Central European Standard Time),65.3725177242605,66.80996702687584,70.12542258910524,77.94312774353529
Thu Dec 05 2024 15:40:00 GMT+0100 (Central European Standard Time),63.53307678124528,60.92778221603159,63.14011745336624,72.3150607474103
Thu Dec 05 2024 15:41:00 GMT+0100 (Central European Standard Time),66.66873607780227,65.87937943900091,68.22791433666964,89.00358373026269
Thu Dec 05 2024 15:42:00 GMT+0100 (Central European Standard Time),63.34388372936313,65.62718516523982,61.924696301241596,68.25299131392626
Thu Dec 05 2024 15:43:00 GMT+0100 (Central European Standard Time),70.20442027800034,69.84703817119926,59.372206522338985,88.28346545801091
Thu Dec 05 2024 15:44:00 GMT+0100 (Central European Standard Time),66.76761501055533,55.243121162255406,66.62969255871766,58.700680480688824
Thu Dec 05 2024 15:45:00 GMT+0100 (Central European Standard Time),52.02232400049353,67.18006995154117,50.18320334878704,76.87194275712935
Thu Dec 05 2024 15:46:00 GMT+0100 (Central European Standard Time),65.35127618706534,49.47648484513517,54.70105896545713,59.86493735938873
Thu Dec 05 2024 15:47:00 GMT+0100 (Central European Standard Time),54.181246696738874,54.075187059939175,55.59378959483183,64.50129170457917
Thu Dec 05 2024 15:48:00 GMT+0100 (Central European Standard Time),55.1156479954445,54.317523786569566,53.21736008211171,75.18510132908793
Thu Dec 05 2024 15:49:00 GMT+0100 (Central European Standard Time),55.31404841944683,54.223585685278216,52.91647798418997,73.41383308869788
Thu Dec 05 2024 15:50:00 GMT+0100 (Central European Standard Time),66.82141704445144,67.02764789464557,65.10894058804581,64.76699167610661
Thu Dec 05 2024 15:51:00 GMT+0100 (Central European Standard Time),65.69694257721778,72.32663562612761,65.59095010817732,75.46285778853341
Thu Dec 05 2024 15:52:00 GMT+0100 (Central European Standard Time),68.22475477929552,64.36919006443209,63.98400127285754,78.8972886951395
Thu Dec 05 2024 15:53:00 GMT+0100 (Central European Standard Time),72.24061902841508,64.6005289647519,72.88582753213157,86.13041306639823
Thu Dec 05 2024 15:54:00 GMT+0100 (Central European Standard Time),73.59866341898889,63.90795682278508,63.782256465615504,84.6510045102093
Thu Dec 05 2024 15:55:00 GMT+0100 (Central European Standard Time),74.05115581427405,73.89833642549736,63.578856738464914,57.792774505779974
Thu Dec 05 2024 15:56:00 GMT+0100 (Central European Standard Time),70.3727425315346,66.97269838887735,64.36681904311172,95.10804511083033
Thu Dec 05 2024 15:57:00 GMT+0100 (Central European Standard Time),71.47713956132748,63.88916957093177,66.96086194708528,88.34859279610669
Thu Dec 05 2024 15:58:00 GMT+0100 (Central European Standard Time),73.38930513652713,58.40464761335701,68.4785391919625,67.21186649314593
Thu Dec 05 2024 15:59:00 GMT+0100 (Central European Standard Time),68.60916924303979,68.14016887577186,67.12385037156689,80.34896945567311
Thu Dec 05 2024 16:00:00 GMT+0100 (Central European Standard Time),65.41338955080013,66.17115873446626,69.38161341082491,74.90355154216823
Thu Dec 05 2024 16:01:00 GMT+0100 (Central European Standard Time),63.71378518817854,65.09315471808388,68.25518065936497,72.9858009446688
Thu Dec 05 2024 16:02:00 GMT+0100 (Central European Standard Time),54.9920054057615,50.05489658311299,53.64104437386307,66.20915359259129
Thu Dec 05 2024 16:03:00 GMT+0100 (Central European Standard Time),83.75008525887515,78.53660447734569,67.30527384177056,76.01737726097251
Thu Dec 05 2024 16:04:00 GMT+0100 (Central European Standard Time),52.30973735096314,53.442919273697576,51.83086943334918,95.6804622702729
Thu Dec 05 2024 16:05:00 GMT+0100 (Central European Standard Time),undefined,undefined,undefined,3.175913966913034
