Timestamp,Worker2,Worker1,Worker0,Master
Thu Dec 05 2024 15:32:00 GMT+0100 (Central European Standard Time),20.5047607421875,21.522903442382812,20.851262410481773,14.177131652832031
Thu Dec 05 2024 15:33:00 GMT+0100 (Central European Standard Time),31.554667154947918,31.740315755208336,31.560262044270832,46.38328552246094
Thu Dec 05 2024 15:34:00 GMT+0100 (Central European Standard Time),31.506856282552086,30.965423583984375,32.154591878255204,48.30322265625
Thu Dec 05 2024 15:35:00 GMT+0100 (Central European Standard Time),31.511942545572918,30.961863199869793,30.972035725911457,47.74360656738281
Thu Dec 05 2024 15:36:00 GMT+0100 (Central European Standard Time),31.116231282552082,31.371053059895832,31.322987874348957,47.73445129394531
Thu Dec 05 2024 15:37:00 GMT+0100 (Central European Standard Time),31.904983520507812,31.378936767578125,31.197484334309898,47.713279724121094
Thu Dec 05 2024 15:38:00 GMT+0100 (Central European Standard Time),31.525675455729168,30.962498982747398,31.288782755533852,45.92094421386719
Thu Dec 05 2024 15:39:00 GMT+0100 (Central European Standard Time),31.499099731445312,30.968856811523438,32.10258483886719,47.020721435546875
Thu Dec 05 2024 15:40:00 GMT+0100 (Central European Standard Time),30.21087646484375,30.543772379557293,30.538050333658855,48.32801818847656
Thu Dec 05 2024 15:41:00 GMT+0100 (Central European Standard Time),30.203628540039062,30.53868611653646,30.136617024739582,46.70600891113281
Thu Dec 05 2024 15:42:00 GMT+0100 (Central European Standard Time),30.608113606770832,30.944315592447918,31.32642110188802,44.48413848876953
Thu Dec 05 2024 15:43:00 GMT+0100 (Central European Standard Time),30.610148111979164,30.541610717773438,30.737940470377605,46.65374755859375
Thu Dec 05 2024 15:44:00 GMT+0100 (Central European Standard Time),30.62769571940104,30.941009521484375,31.33544921875,47.09186553955078
Thu Dec 05 2024 15:45:00 GMT+0100 (Central European Standard Time),30.304463704427082,31.165695190429688,30.535507202148438,46.639060974121094
Thu Dec 05 2024 15:46:00 GMT+0100 (Central European Standard Time),30.816396077473957,30.144627888997398,30.14666239420573,47.26085662841797
Thu Dec 05 2024 15:47:00 GMT+0100 (Central European Standard Time),30.228296915690102,30.54949442545573,30.131912231445312,46.6400146484375
Thu Dec 05 2024 15:48:00 GMT+0100 (Central European Standard Time),30.611546834309895,30.340830485026043,30.539194742838543,44.24762725830078
Thu Dec 05 2024 15:49:00 GMT+0100 (Central European Standard Time),31.418228149414062,30.152511596679688,30.727132161458332,46.648597717285156
Thu Dec 05 2024 15:50:00 GMT+0100 (Central European Standard Time),30.749130249023438,29.957199096679688,29.985936482747395,46.65069580078125
Thu Dec 05 2024 15:51:00 GMT+0100 (Central European Standard Time),29.942576090494793,29.941558837890625,29.878616333007812,43.51615905761719
Thu Dec 05 2024 15:52:00 GMT+0100 (Central European Standard Time),29.942576090494793,30.344645182291668,29.790115356445312,44.06452178955078
Thu Dec 05 2024 15:53:00 GMT+0100 (Central European Standard Time),29.556783040364582,29.94232177734375,29.990641276041668,43.50299835205078
Thu Dec 05 2024 15:54:00 GMT+0100 (Central European Standard Time),29.955800374348957,30.355326334635418,29.582977294921875,46.52385711669922
Thu Dec 05 2024 15:55:00 GMT+0100 (Central European Standard Time),29.95287577311198,29.943084716796875,29.582977294921875,45.319557189941406
Thu Dec 05 2024 15:56:00 GMT+0100 (Central European Standard Time),30.754343668619793,29.53948974609375,29.582977294921875,43.736839294433594
Thu Dec 05 2024 15:57:00 GMT+0100 (Central European Standard Time),29.953384399414062,29.543304443359375,29.984410603841145,45.89958190917969
Thu Dec 05 2024 15:58:00 GMT+0100 (Central European Standard Time),29.947408040364582,29.555002848307293,31.188074747721355,43.534088134765625
Thu Dec 05 2024 15:59:00 GMT+0100 (Central European Standard Time),29.764175415039062,30.733998616536457,29.596455891927082,44.70176696777344
Thu Dec 05 2024 16:00:00 GMT+0100 (Central European Standard Time),29.444630940755207,29.43878173828125,29.59582010904948,45.90129852294922
Thu Dec 05 2024 16:01:00 GMT+0100 (Central European Standard Time),29.41881815592448,29.43865458170573,29.514694213867188,45.29457092285156
Thu Dec 05 2024 16:02:00 GMT+0100 (Central European Standard Time),30.210113525390625,29.85242207845052,29.10614013671875,45.71533203125
Thu Dec 05 2024 16:03:00 GMT+0100 (Central European Standard Time),29.415003458658855,29.047393798828125,29.171117146809895,45.284461975097656
Thu Dec 05 2024 16:04:00 GMT+0100 (Central European Standard Time),29.41131591796875,29.435984293619793,29.51037089029948,45.88432312011719
Thu Dec 05 2024 16:05:00 GMT+0100 (Central European Standard Time),29.41131591796875,29.435984293619793,29.51037089029948,45.889854431152344
